,countries,number_of_devs,percentages
0,united states,19083,0.3870398539701856
1,united kingdom,3793,0.07692931751343678
2,germany,3157,0.06403001723963087
3,canada,2212,0.04486360409694757
4,france,2069,0.0419632897272082
5,brazil,1589,0.03222796876584525
6,australia,1444,0.02928709055876686
7,russia,1153,0.023385052225940575
8,netherlands,1119,0.022695466991177367
9,sweden,938,0.019024439711996754
10,india,858,0.017401886218436264
11,spain,796,0.016144407260926884
12,japan,665,0.01348747591522158
13,poland,661,0.013406348240543556
14,china,639,0.01296014602981442
15,switzerland,635,0.012879018355136397
16,italy,568,0.011520129804279486
17,ukraine,513,0.010404624277456647
18,norway,494,0.01001926782273603
19,belgium,467,0.009471656018659366
20,denmark,463,0.00939052834398134
21,finland,431,0.008741506946557145
22,argentina,390,0.007909948281107393
23,czech republic,388,0.00786938444376838
24,new zealand,345,0.0069972619409796166
25,austria,298,0.006044011763512829
26,portugal,265,0.005374708447419126
27,mexico,215,0.004360612513943819
28,south africa,202,0.004096947571240239
29,ireland,192,0.003894128384545178
30,romania,180,0.0036507453605111044
31,israel,171,0.003468208092485549
32,turkey,163,0.0033059527431295002
33,hungary,148,0.003001723963086908
34,belarus,139,0.0028191866950613527
35,singapore,131,0.0026569313457053038
36,taiwan,128,0.0025960855896967855
37,bulgaria,105,0.0021296014602981443
38,chile,102,0.002068755704289626
39,colombia,100,0.0020281918669506137
40,greece,95,0.0019267822736030828
41,south korea,95,0.0019267822736030828
42,estonia,81,0.001642835412229997
43,philippines,81,0.001642835412229997
44,croatia,75,0.0015211439002129601
45,indonesia,74,0.001500861981543454
46,lithuania,71,0.0014400162255349357
47,hong kong,70,0.0014197343068654295
48,uruguay,70,0.0014197343068654295
49,serbia,62,0.0012574789575093804
50,latvia,61,0.0012371970388398742
51,slovakia,59,0.001196633201500862
52,venezuela,59,0.001196633201500862
53,slovenia,58,0.001176351282831356
54,vietnam,58,0.001176351282831356
55,thailand,48,0.0009735320961362945
56,malaysia,47,0.0009532501774667883
57,iceland,46,0.0009329682587972823
58,egypt,44,0.0008924044214582699
59,peru,44,0.0008924044214582699
60,iran,31,0.0006287394787546902
61,costa rica,23,0.00046648412939864114
62,united arab emirates,22,0.00044620221072913497
63,bolivia,20,0.0004056383733901227
64,kenya,19,0.0003853564547206166
65,nepal,18,0.0003650745360511104
66,puerto rico,18,0.0003650745360511104
67,luxembourg,17,0.0003447926173816043
68,pakistan,16,0.0003245106987120982
69,moldova,16,0.0003245106987120982
70,ecuador,15,0.000304228780042592
71,dominican republic,15,0.000304228780042592
72,bangladesh,15,0.000304228780042592
73,macedonia,15,0.000304228780042592
74,kazakhstan,13,0.00026366494270357974
75,kyrgyzstan,13,0.00026366494270357974
76,sri lanka,12,0.00024338302403407362
77,nicaragua,12,0.00024338302403407362
78,guatemala,12,0.00024338302403407362
79,panama,11,0.00022310110536456748
80,morocco,11,0.00022310110536456748
81,honduras,11,0.00022310110536456748
82,bosnia and herzegovina,10,0.00020281918669506134
83,jersey,10,0.00020281918669506134
84,nigeria,10,0.00020281918669506134
85,jordan,8,0.0001622553493560491
86,saudi arabia,8,0.0001622553493560491
87,uzbekistan,8,0.0001622553493560491
88,tunisia,8,0.0001622553493560491
89,ghana,8,0.0001622553493560491
90,malta,8,0.0001622553493560491
91,paraguay,8,0.0001622553493560491
92,cambodia,8,0.0001622553493560491
93,cyprus,7,0.00014197343068654295
94,syria,7,0.00014197343068654295
95,algeria,6,0.00012169151201703681
96,georgia,6,0.00012169151201703681
97,el salvador,6,0.00012169151201703681
98,cuba,6,0.00012169151201703681
99,lebanon,5,0.00010140959334753067
100,uganda,5,0.00010140959334753067
101,albania,4,8.112767467802455e-05
102,armenia,4,8.112767467802455e-05
103,macau,4,8.112767467802455e-05
104,kuwait,4,8.112767467802455e-05
105,azerbaijan,4,8.112767467802455e-05
106,cameroon,4,8.112767467802455e-05
107,maldives,3,6.0845756008518406e-05
108,bermuda,3,6.0845756008518406e-05
109,bahrain,3,6.0845756008518406e-05
110,senegal,3,6.0845756008518406e-05
111,isle of man,3,6.0845756008518406e-05
112,myanmar,3,6.0845756008518406e-05
113,antarctica,3,6.0845756008518406e-05
114,tanzania,3,6.0845756008518406e-05
115,jamaica,3,6.0845756008518406e-05
116,fiji,2,4.056383733901227e-05
117,palestinian territories,2,4.056383733901227e-05
118,papua new guinea,2,4.056383733901227e-05
119,gibraltar,2,4.056383733901227e-05
120,trinidad and tobago,2,4.056383733901227e-05
121,rwanda,2,4.056383733901227e-05
122,madagascar,2,4.056383733901227e-05
123,ethiopia,2,4.056383733901227e-05
124,montenegro,2,4.056383733901227e-05
125,reunion,2,4.056383733901227e-05
126,cote d'ivoire,1,2.0281918669506137e-05
127,kosovo,1,2.0281918669506137e-05
128,somalia,1,2.0281918669506137e-05
129,french polynesia,1,2.0281918669506137e-05
130,virgin islands,1,2.0281918669506137e-05
131,qatar,1,2.0281918669506137e-05
132,mongolia,1,2.0281918669506137e-05
133,vatican city,1,2.0281918669506137e-05
134,san marino,1,2.0281918669506137e-05
135,new caledonia,1,2.0281918669506137e-05
136,guernsey,1,2.0281918669506137e-05
137,zambia,1,2.0281918669506137e-05
138,chad,1,2.0281918669506137e-05
139,barbados,1,2.0281918669506137e-05
140,guadeloupe,1,2.0281918669506137e-05
141,andorra,1,2.0281918669506137e-05
142,netherlands antilles,1,2.0281918669506137e-05
143,turkmenistan,1,2.0281918669506137e-05
144,benin,1,2.0281918669506137e-05
145,brunei,1,2.0281918669506137e-05
146,bhutan,1,2.0281918669506137e-05
147,guam,1,2.0281918669506137e-05
148,antigua and barbuda,1,2.0281918669506137e-05
149,faroe islands,1,2.0281918669506137e-05
150,tajikistan,1,2.0281918669506137e-05
151,monaco,1,2.0281918669506137e-05
152,turks and caicos islands,1,2.0281918669506137e-05
153,afghanistan,1,2.0281918669506137e-05
154,namibia,1,2.0281918669506137e-05
155,burkina faso,1,2.0281918669506137e-05
